studentID,Course_code,Backlog
E0001,CSET243,0
E0001,CSET240,0
E0001,CSET211,0
E0001,CSET210,0
E0002,CSET243,0
E0002,CSET240,0
E0002,CSET211,0
E0002,CSET210,0
E0003,CSET243,0
E0003,CSET240,0
E0003,CSET211,0
E0003,CSET210,0
E0004,CSET243,0
E0004,CSET240,0
E0004,CSET211,0
E0004,CSET210,1
E0005,CSET243,0
E0005,CSET240,0
E0005,CSET211,0
E0005,CSET210,0
E0006,CSET243,1
E0006,CSET240,1
E0006,CSET211,0
E0006,CSET210,0
E0007,CSET243,1
E0007,CSET240,0
E0007,CSET211,0
E0007,CSET210,0
E0008,CSET243,0
E0008,CSET240,0
E0008,CSET211,0
E0008,CSET210,0
E0009,CSET243,0
E0009,CSET240,0
E0009,CSET211,0
E0009,CSET210,0
E0010,CSET243,0
E0010,CSET240,0
E0010,CSET211,0
E0010,CSET210,0
E0011,CSET243,0
E0011,CSET240,0
E0011,CSET211,0
E0011,CSET210,0
E0012,CSET243,1
E0012,CSET240,1
E0012,CSET211,0
E0012,CSET210,0
E0013,CSET243,0
E0013,CSET240,0
E0013,CSET211,0
E0013,CSET210,0
E0014,CSET243,0
E0014,CSET240,0
E0014,CSET211,0
E0014,CSET210,0
E0015,CSET243,0
E0015,CSET240,0
E0015,CSET211,0
E0015,CSET210,0
E0016,CSET243,0
E0016,CSET240,0
E0016,CSET211,0
E0016,CSET210,0
E0017,CSET243,0
E0017,CSET240,0
E0017,CSET211,0
E0017,CSET210,0
E0018,CSET243,0
E0018,CSET240,0
E0018,CSET211,0
E0018,CSET210,0
E0019,CSET243,1
E0019,CSET240,1
E0019,CSET211,1
E0019,CSET210,0
E0020,CSET243,1
E0020,CSET240,0
E0020,CSET211,0
E0020,CSET210,0
E0021,CSET243,0
E0021,CSET240,0
E0021,CSET211,0
E0021,CSET210,0
E0022,CSET243,0
E0022,CSET240,0
E0022,CSET211,0
E0022,CSET210,0
E0023,CSET243,0
E0023,CSET240,0
E0023,CSET211,0
E0023,CSET210,0
E0024,CSET243,1
E0024,CSET240,0
E0024,CSET211,0
E0024,CSET210,0
E0025,CSET243,0
E0025,CSET240,0
E0025,CSET211,0
E0025,CSET210,0
E0026,CSET243,0
E0026,CSET240,0
E0026,CSET211,0
E0026,CSET210,0
E0027,CSET243,0
E0027,CSET240,0
E0027,CSET211,0
E0027,CSET210,0
E0028,CSET243,0
E0028,CSET240,0
E0028,CSET211,0
E0028,CSET210,0
E0029,CSET243,0
E0029,CSET240,0
E0029,CSET211,0
E0029,CSET210,0
E0030,CSET243,0
E0030,CSET240,0
E0030,CSET211,0
E0030,CSET210,0
E0031,CSET243,0
E0031,CSET240,0
E0031,CSET211,0
E0031,CSET210,0
E0032,CSET243,0
E0032,CSET240,0
E0032,CSET211,0
E0032,CSET210,0
E0033,CSET243,0
E0033,CSET240,0
E0033,CSET211,0
E0033,CSET210,0
E0034,CSET243,1
E0034,CSET240,1
E0034,CSET211,0
E0034,CSET210,0
E0035,CSET243,0
E0035,CSET240,0
E0035,CSET211,0
E0035,CSET210,0
E0036,CSET243,0
E0036,CSET240,0
E0036,CSET211,0
E0036,CSET210,0
E0037,CSET243,0
E0037,CSET240,0
E0037,CSET211,0
E0037,CSET210,0
E0038,CSET243,0
E0038,CSET240,1
E0038,CSET211,0
E0038,CSET210,0
E0039,CSET243,1
E0039,CSET240,0
E0039,CSET211,0
E0039,CSET210,0
E0040,CSET243,0
E0040,CSET240,0
E0040,CSET211,0
E0040,CSET210,0
E0041,CSET243,0
E0041,CSET240,0
E0041,CSET211,0
E0041,CSET210,0
E0042,CSET243,0
E0042,CSET240,0
E0042,CSET211,0
E0042,CSET210,0
E0043,CSET243,0
E0043,CSET240,0
E0043,CSET211,0
E0043,CSET210,0
E0044,CSET243,0
E0044,CSET240,0
E0044,CSET211,0
E0044,CSET210,0
E0045,CSET243,0
E0045,CSET240,0
