studentId,courseId,attempts,cleared
E0008,CSET211,1,False
E0008,CSET240,1,False
E0028,CSET211,2,True
E0113,MATH201,3,True
E0113,CSET243,4,True
E0113,CSET201,1,False
E0294,CSET201,1,False
E0294,PHY101,4,False
E0359,CHEM101,3,False
E0359,MATH201,1,False
E0359,CSET201,1,False
E0397,ENG101,1,False
E0397,CHEM101,3,True
E0420,MATH201,1,False
E0420,CSET201,1,False
E0426,PHY101,1,False
E0426,CSET243,3,False
E0426,CSET240,3,True
E0469,MATH201,4,True
E0469,CSET201,1,False
E0546,CHEM101,3,False
E0546,CSET243,2,False
E0555,CSET211,1,False
E0585,CSET201,3,False
E0585,ENG101,4,False
E0585,MATH201,2,True
E0592,CSET211,2,False
E0592,CSET243,2,True
E0592,CSET240,3,False
E0613,ENG101,4,False
E0614,CSET201,1,False
E0614,CSET243,1,False
E0614,MATH201,1,False
E0634,CSET243,2,True
E0634,MATH201,2,False
E0634,CSET201,3,True
E0640,CSET211,3,True
E0640,CSET243,2,False
E0777,PHY101,3,False
E0777,MATH201,1,False
E0846,CSET211,3,True
E0846,CSET240,2,False
E1027,ENG101,2,True
E1258,ENG101,2,False
E1258,CSET211,3,False
E1491,MATH201,1,False
E1491,CSET211,2,False
E1491,CSET240,3,True
E1724,CSET243,2,True
E1724,MATH201,1,False
E1752,MATH201,2,True
E1758,ENG101,4,False
E1758,PHY101,1,False
E1781,CSET201,2,True
E1781,MATH201,2,True
E1827,CSET201,3,True
E1827,MATH201,1,False
E1827,CSET211,4,False
E1905,CSET243,1,False
E1905,ENG101,4,True
E1905,CSET240,3,False
E1906,PHY101,1,False
E1950,CSET243,3,False
E1980,CHEM101,2,False
E1980,CSET243,1,False
E2113,CSET211,3,True
E2113,CHEM101,3,True
E2166,CSET211,3,False
E2184,CSET240,4,True
E2186,MATH201,3,True
E2186,CSET240,1,False
E2186,CSET201,4,False
E2303,CSET240,3,True
E2303,CSET201,2,True
E2405,ENG101,2,False
E2405,CSET240,4,True
E2504,CSET211,2,True
E2607,CSET243,4,False
E2607,CSET240,1,False
E2607,CSET201,4,True
E2689,CSET240,1,False
E2794,ENG101,2,True
E2824,ENG101,2,False
E2824,CSET240,2,False
E2824,CSET243,3,False
E2854,ENG101,1,False
E2854,MATH201,4,True
E2854,CSET243,2,True
E3014,CSET201,3,False
E3014,PHY101,4,True
E3014,CSET243,3,False
E3048,CHEM101,2,False
E3191,CSET201,1,False
E3191,CSET243,4,False
E3302,CSET240,1,False
E3460,CSET243,4,False
E3460,CSET240,1,False
E3547,CSET201,4,False
E3547,ENG101,2,False
E3629,CHEM101,4,True
E3629,CSET243,1,False
E3885,CSET201,1,False
E3885,CSET240,1,False
E3886,MATH201,4,True
E3984,CHEM101,4,True
E4233,ENG101,1,False
E4233,MATH201,2,True
E4321,CSET240,3,True
E4321,ENG101,1,False
E4426,CHEM101,2,False
E4426,CSET240,1,False
E4430,MATH201,3,True
E4430,CSET240,2,True
E4430,CHEM101,2,False
E4630,CHEM101,3,False
E4864,ENG101,4,True
E4864,CSET211,4,True
